anon_app_id,n_countries_observed,ADII_mean,DGI_mean,PCLR_mean,AS_mean,categories,ad_supported,offersIAP,top_grossing,downloads_bucket
app_0136,26,277.0769230769231,0.7293040293040293,0.35680964541834714,0.3075143978907642,Medical,True,True,No,100K-1M
app_0137,26,858.6153846153846,0.8942307692307693,0.23235524958517598,0.4595301584029224,Health & Fitness,False,True,No,1K-10K
app_0138,26,278.2307692307692,0.8105616605616606,0.44683720311370273,0.4028653027601251,Health & Fitness,False,False,Yes,1M-10M
app_0139,26,337.0769230769231,1.0,0.3767864967718327,0.3535684749821731,Health & Fitness,False,True,Yes,1M-10M
app_0140,26,1012.5769230769231,0.8950854700854701,0.33176356846288935,0.6262488028665616,Health & Fitness,False,False,No,10K-100K
app_0141,26,425.53846153846155,0.8175824175824176,0.39259448675372977,0.4837297573174923,Health & Fitness,False,True,No,10K-100K
app_0142,26,516.0,0.7900183150183151,0.3455058135336657,0.4835933543035914,Medical,False,True,No,1M-10M
app_0143,25,563.56,0.9966666666666667,0.4217906265256792,0.3768780875221081,Health & Fitness,False,True,No,10K-100K
app_0144,26,403.6923076923077,0.7854090354090354,0.46618952240622197,0.4088845148390835,Medical,True,True,No,10M+
app_0145,26,658.8076923076923,1.0,0.29772404539052844,0.4215093936491051,Health & Fitness,False,True,No,1K-10K
app_0146,26,529.8461538461538,1.0,0.5170741759060943,0.5004098211471388,Medical,True,False,Yes,1M-10M
app_0147,26,308.2692307692308,0.7218864468864469,0.3878105967487035,0.4208384994092339,Health & Fitness,True,True,No,100K-1M
app_0148,26,541.9230769230769,0.8617063492063491,0.48796246778695623,0.37985993430989634,Health & Fitness,False,True,Yes,10M+
app_0149,26,401.6923076923077,0.8190934065934066,0.2725219108090991,0.3750076267170488,Health & Fitness,False,True,No,10K-100K
app_0150,26,1011.1538461538462,1.0,0.4538829426381509,0.3589230230987828,Health & Fitness,False,True,Yes,10M+
app_0151,26,184.0,1.0,0.41685871176625044,0.4032014389104279,Health & Fitness,True,False,No,100K-1M
app_0152,26,940.5769230769231,1.0,0.3922918417792764,0.5047403507926496,Education,True,True,No,100K-1M
app_0153,26,237.3846153846154,1.0,0.3040408763345303,0.3188089034230368,Health & Fitness,False,True,No,10K-100K
app_0154,26,935.3846153846154,1.0,0.5882107642780343,0.2741246415401479,Health & Fitness,False,True,Yes,1M-10M
app_0155,25,414.68,1.0,0.3697412339635543,0.384527143967088,Health & Fitness,True,True,Yes,1M-10M
app_0156,26,808.1538461538462,1.0,0.6362750553972509,0.2628280228075148,Health & Fitness,True,False,No,10M+
app_0157,26,1268.8076923076924,0.8725307497931933,0.4102261659440933,0.4151223258226906,Education,True,True,No,10M+
app_0158,26,1551.9615384615386,1.0,0.18137194346346477,0.3625683142383828,Health & Fitness,False,True,No,1M-10M
app_0159,26,804.0,0.8508241758241758,0.3580126144251258,0.3738329408755511,Health & Fitness,False,False,No,100K-1M
app_0160,25,505.16,1.0,0.34991814419837036,0.3706681291969073,Health & Fitness,True,True,Yes,1M-10M
app_0161,25,317.88,0.8943809523809523,0.4447857888619238,0.39077082776600736,Health & Fitness,False,False,No,100K-1M
app_0162,26,796.8461538461538,0.979850277927201,0.6136449117876487,0.3719253683554563,Health & Fitness,False,False,No,10K-100K
app_0163,26,195.34615384615384,0.7358974358974358,0.3372483465353653,0.2926775443027701,Health & Fitness,False,True,No,100K-1M
app_0164,6,186.16666666666666,1.0,0.22421666171666169,0.2203687173060187,Health & Fitness,False,True,No,10K-100K
app_0165,26,214.26923076923077,0.7411172161172161,0.3879878338192381,0.3604406641066446,Health & Fitness,False,True,No,10K-100K
app_0166,26,210.96153846153845,0.7328754578754578,0.4084567860890384,0.3684967732085896,Health & Fitness,False,True,No,100K-1M
app_0167,26,726.2307692307693,0.9862073823612285,0.2798120061488523,0.303688390726796,Health & Fitness,False,True,No,100K-1M
app_0168,17,839.4705882352941,0.9439521263050674,0.6021272332770704,0.2823682124130866,Health & Fitness,False,False,No,10K-100K
app_0169,26,794.8846153846154,0.7967338217338218,0.3600371047584888,0.3044861546679785,Health & Fitness,True,False,No,1K-10K
app_0170,26,1048.1153846153845,1.0,0.5740575968624577,0.4347561495987521,Health & Fitness,False,True,No,100K-1M
app_0171,26,413.5,0.9109890109890111,0.2809012222427213,0.3209168516665203,Health & Fitness,False,True,No,10K-100K
app_0172,26,396.61538461538464,1.0,0.6064862290114772,0.2978599479450833,Medical,False,True,No,100K-1M
app_0173,26,282.8076923076923,0.7257700632700632,0.4302973168641166,0.486114998950056,Health & Fitness,False,False,No,1K-10K
app_0174,26,591.1923076923077,0.8528388278388278,0.4921812704501767,0.4415853140533467,Health & Fitness,False,True,No,100K-1M
app_0175,25,610.52,0.8126190476190476,0.27205439031404044,0.4423604351260904,Health & Fitness,True,True,No,100K-1M
app_0176,26,516.4230769230769,1.0,0.4675342267154405,0.3709118996860229,Health & Fitness,False,True,No,100K-1M
